age,job,marital,education,default credit,balance,housing,loan,contact,duration,poutcome,Result
30,unemployed,married,primary,no,1787,no,no,cellular,79,unknown,no
33,services,married,secondary,no,4789,yes,yes,cellular,220,failure,no
35,management,single,tertiary,no,1350,yes,no,cellular,185,failure,no
30,management,married,tertiary,no,1476,yes,yes,unknown,199,unknown,no
59,blue-collar,married,secondary,no,0,yes,no,unknown,226,unknown,no
35,management,single,tertiary,no,747,no,no,cellular,141,failure,no
36,self-employed,married,tertiary,no,307,yes,no,cellular,341,other,no
39,technician,married,secondary,no,147,yes,no,cellular,151,unknown,no
41,entrepreneur,married,tertiary,no,221,yes,no,unknown,57,unknown,no
43,services,married,primary,no,-88,yes,yes,cellular,313,failure,no
39,services,married,secondary,no,9374,yes,no,unknown,273,unknown,no
43,admin.,married,secondary,no,264,yes,no,cellular,113,unknown,no
36,technician,married,tertiary,no,1109,no,no,cellular,328,unknown,no
20,student,single,secondary,no,502,no,no,cellular,261,unknown,yes
31,blue-collar,married,secondary,no,360,yes,yes,cellular,89,failure,no
40,management,married,tertiary,no,194,no,yes,cellular,189,unknown,no
56,technician,married,secondary,no,4073,no,no,cellular,239,unknown,no
37,admin.,single,tertiary,no,2317,yes,no,cellular,114,failure,no
25,blue-collar,single,primary,no,-221,yes,no,unknown,250,unknown,no
31,services,married,secondary,no,132,no,no,cellular,148,other,no
38,management,divorced,unknown,no,0,yes,no,cellular,96,unknown,no
42,management,divorced,tertiary,no,16,no,no,cellular,140,unknown,no
44,services,single,secondary,no,106,no,no,unknown,109,unknown,no
44,entrepreneur,married,secondary,no,93,no,no,cellular,125,unknown,no
26,housemaid,married,tertiary,no,543,no,no,cellular,169,unknown,no
41,management,married,tertiary,no,5883,no,no,cellular,182,unknown,no
55,blue-collar,married,primary,no,627,yes,no,unknown,247,unknown,no
67,retired,married,unknown,no,696,no,no,telephone,119,failure,no
56,self-employed,married,secondary,no,784,no,yes,cellular,149,unknown,no
53,admin.,married,secondary,no,105,no,yes,cellular,74,unknown,no
68,retired,divorced,secondary,no,4189,no,no,telephone,897,unknown,yes
31,technician,married,secondary,no,171,no,no,cellular,81,unknown,no
59,management,married,secondary,no,42,no,no,cellular,40,unknown,no
32,management,single,tertiary,no,2536,yes,no,cellular,958,unknown,yes
49,technician,married,tertiary,no,1235,no,no,cellular,354,unknown,yes
42,admin.,divorced,secondary,no,1811,yes,no,unknown,150,unknown,no
78,retired,divorced,primary,no,229,no,no,telephone,97,unknown,yes
32,blue-collar,married,secondary,no,2089,yes,no,cellular,132,unknown,yes
33,management,married,secondary,no,3935,yes,no,cellular,765,failure,yes
23,services,single,tertiary,no,363,yes,no,unknown,16,unknown,no
38,management,single,tertiary,no,11971,yes,no,unknown,609,failure,no
36,management,single,tertiary,no,553,no,no,cellular,106,unknown,no
52,blue-collar,married,secondary,no,1117,yes,no,cellular,365,unknown,no
32,technician,married,tertiary,no,396,yes,no,cellular,205,unknown,no
32,technician,single,tertiary,no,2204,yes,no,cellular,11,unknown,no
34,management,single,tertiary,no,872,yes,no,unknown,105,unknown,no
55,blue-collar,married,primary,no,145,no,no,telephone,59,other,no
26,blue-collar,married,primary,no,0,yes,no,unknown,425,unknown,no
32,entrepreneur,single,primary,yes,-849,yes,yes,cellular,204,unknown,no
61,admin.,married,unknown,no,4629,yes,no,cellular,181,success,yes
45,blue-collar,divorced,primary,no,844,no,no,unknown,1018,unknown,yes
37,technician,single,secondary,no,228,yes,no,cellular,1740,unknown,no
38,technician,single,secondary,no,50,no,no,cellular,98,unknown,no
34,technician,married,tertiary,no,1539,yes,no,cellular,441,other,yes
53,blue-collar,married,secondary,no,2231,yes,no,cellular,272,unknown,no
48,admin.,married,secondary,no,3064,yes,no,telephone,159,unknown,no
57,management,married,secondary,no,82,no,yes,telephone,140,unknown,no
33,self-employed,single,tertiary,no,2155,no,no,cellular,295,unknown,no
36,retired,single,secondary,no,101,yes,yes,unknown,314,unknown,no
54,technician,divorced,secondary,no,784,yes,yes,unknown,579,unknown,no
63,retired,married,secondary,no,415,yes,no,cellular,323,unknown,no
48,management,married,tertiary,no,5887,no,no,cellular,227,unknown,no
48,services,married,secondary,no,1355,no,no,cellular,134,unknown,no
56,admin.,married,secondary,no,16873,no,no,cellular,223,unknown,no
51,blue-collar,divorced,secondary,no,203,yes,no,cellular,134,failure,no
31,services,married,secondary,no,338,yes,no,cellular,155,unknown,no
29,technician,married,secondary,no,444,yes,no,cellular,130,unknown,no
41,management,married,secondary,no,0,no,yes,cellular,630,unknown,no
32,technician,single,tertiary,no,360,no,no,cellular,164,unknown,no
37,management,married,tertiary,no,0,no,no,cellular,268,success,yes
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,380,unknown,no
31,management,single,tertiary,no,6248,yes,no,unknown,154,unknown,no
41,services,married,tertiary,no,412,yes,no,unknown,154,unknown,no
56,retired,married,secondary,no,344,yes,no,unknown,221,unknown,no
54,management,divorced,tertiary,no,3222,no,no,cellular,67,unknown,no
41,blue-collar,divorced,secondary,no,174,yes,no,cellular,367,other,no
40,technician,single,secondary,no,591,no,yes,cellular,87,unknown,no
50,blue-collar,divorced,primary,no,388,no,no,cellular,701,unknown,no
40,unemployed,married,secondary,no,219,yes,no,cellular,204,failure,no
27,admin.,divorced,secondary,no,451,yes,no,cellular,652,unknown,yes
60,retired,married,primary,no,5,no,no,cellular,63,unknown,no
28,admin.,single,secondary,no,177,yes,yes,cellular,150,unknown,no
52,services,married,secondary,no,657,no,no,telephone,398,failure,yes
37,management,married,tertiary,no,1315,no,no,cellular,224,unknown,yes
51,blue-collar,married,primary,no,1466,yes,no,unknown,406,unknown,no
41,technician,single,secondary,no,879,no,yes,cellular,60,unknown,no
35,blue-collar,single,primary,no,293,yes,no,unknown,521,unknown,no
38,admin.,married,secondary,no,424,yes,no,cellular,279,unknown,no
34,blue-collar,married,secondary,no,1831,yes,no,unknown,203,unknown,no
39,blue-collar,married,primary,no,111,no,no,cellular,201,unknown,no
34,blue-collar,married,primary,no,455,yes,no,unknown,372,unknown,no
27,services,single,secondary,no,-195,yes,no,cellular,391,unknown,yes
32,management,single,tertiary,no,3616,no,no,cellular,165,unknown,no
57,blue-collar,married,secondary,no,14093,no,no,cellular,231,unknown,no
41,unknown,single,tertiary,no,1567,no,no,cellular,291,unknown,no
41,admin.,married,tertiary,no,5426,yes,no,unknown,149,unknown,no
30,admin.,single,tertiary,no,261,no,no,cellular,233,failure,no
36,blue-collar,divorced,secondary,no,2843,no,no,cellular,473,success,no
31,unemployed,single,primary,no,406,no,no,cellular,736,unknown,yes
36,blue-collar,married,secondary,no,0,yes,no,unknown,337,unknown,no
38,management,single,tertiary,no,493,yes,no,cellular,553,failure,no
49,technician,married,secondary,no,5996,no,no,telephone,345,unknown,no
57,services,single,primary,no,3777,yes,no,telephone,65,unknown,no
34,management,single,secondary,no,524,no,no,unknown,9,unknown,no
32,management,single,tertiary,no,574,yes,no,cellular,259,failure,no
37,blue-collar,married,secondary,no,427,yes,yes,unknown,371,unknown,no
33,self-employed,married,tertiary,no,483,yes,no,cellular,280,unknown,no
56,unemployed,married,primary,no,3391,no,no,cellular,243,unknown,yes
27,housemaid,married,primary,no,0,yes,no,cellular,435,unknown,no
21,student,single,secondary,no,2488,no,no,cellular,258,success,yes
58,management,married,tertiary,no,1517,yes,no,telephone,7,unknown,no
32,self-employed,married,secondary,no,217,yes,yes,cellular,317,unknown,no
33,blue-collar,single,secondary,no,22,no,no,cellular,76,failure,no
25,student,single,secondary,no,331,no,no,telephone,170,unknown,yes
25,technician,single,secondary,no,505,no,yes,cellular,386,unknown,yes
30,services,married,secondary,no,1808,yes,no,cellular,83,unknown,no
22,admin.,single,secondary,no,4111,no,yes,cellular,65,unknown,no
39,blue-collar,married,primary,no,52,no,no,cellular,69,unknown,no
46,management,divorced,tertiary,no,25,no,no,unknown,564,unknown,no
31,admin.,divorced,secondary,no,1890,yes,no,cellular,588,unknown,no
45,blue-collar,married,primary,no,419,no,no,cellular,113,unknown,no
32,technician,married,secondary,no,2693,yes,no,unknown,16,unknown,no
36,blue-collar,married,secondary,no,-231,no,yes,cellular,779,unknown,no
51,management,single,tertiary,yes,-55,yes,no,cellular,281,failure,no
34,self-employed,single,tertiary,no,462,no,no,cellular,1877,unknown,yes
24,unemployed,single,secondary,no,119,no,no,unknown,51,unknown,no
45,technician,single,secondary,no,586,no,yes,cellular,32,unknown,no
32,blue-collar,single,secondary,no,228,no,no,telephone,176,failure,no
77,retired,divorced,tertiary,no,4659,no,no,cellular,161,unknown,yes
41,blue-collar,married,primary,no,168,yes,no,cellular,187,unknown,no
37,blue-collar,married,primary,no,0,yes,no,unknown,24,unknown,no
43,blue-collar,married,unknown,yes,-715,yes,no,unknown,67,unknown,no
48,admin.,married,unknown,no,0,yes,no,cellular,85,failure,no
27,technician,single,secondary,no,769,yes,no,unknown,317,unknown,no
33,management,single,tertiary,no,0,no,no,cellular,236,unknown,no
29,admin.,single,secondary,no,428,yes,yes,cellular,54,failure,no
34,management,single,tertiary,no,0,no,no,cellular,71,unknown,no
52,management,married,tertiary,no,-970,yes,no,cellular,489,unknown,yes
60,management,married,unknown,no,6313,no,no,unknown,39,unknown,no
32,management,divorced,tertiary,no,948,no,no,cellular,204,unknown,no
32,management,single,tertiary,no,0,yes,no,cellular,455,unknown,no
56,services,divorced,unknown,no,1877,yes,no,unknown,86,unknown,no
31,management,single,tertiary,no,874,yes,no,cellular,190,unknown,no
42,admin.,married,secondary,no,323,yes,yes,unknown,280,unknown,no
35,management,married,tertiary,no,106,no,yes,cellular,588,unknown,no
56,retired,married,primary,no,1906,no,yes,unknown,45,unknown,no
48,technician,married,secondary,no,1152,yes,no,cellular,168,unknown,no
46,admin.,married,secondary,no,179,yes,no,cellular,194,other,no
37,technician,single,unknown,no,391,yes,no,unknown,103,unknown,no
41,entrepreneur,married,unknown,no,89,yes,no,unknown,333,unknown,no
36,management,single,tertiary,no,442,yes,yes,cellular,102,unknown,no
45,unemployed,divorced,primary,yes,-249,yes,yes,unknown,92,unknown,no
55,entrepreneur,married,secondary,no,8104,no,no,cellular,213,unknown,no
39,technician,married,secondary,no,501,no,no,unknown,289,unknown,no
35,technician,divorced,secondary,no,308,no,no,cellular,77,unknown,no
55,admin.,married,secondary,no,602,no,no,cellular,324,success,yes
55,technician,married,secondary,no,273,yes,no,cellular,84,failure,no
27,self-employed,single,secondary,no,50,no,no,cellular,168,unknown,no
34,technician,married,secondary,no,1641,yes,no,cellular,380,unknown,no
34,blue-collar,married,tertiary,no,20,no,no,unknown,10,unknown,no
25,admin.,single,secondary,no,4590,yes,no,unknown,199,unknown,no
41,admin.,single,secondary,no,-256,no,yes,unknown,35,unknown,no
43,services,married,secondary,no,978,yes,yes,unknown,82,unknown,no
28,management,single,tertiary,no,80,no,no,cellular,676,failure,yes
31,admin.,single,secondary,no,2104,yes,no,unknown,455,unknown,no
78,housemaid,married,secondary,no,499,no,no,telephone,80,unknown,no
45,blue-collar,divorced,secondary,no,1269,yes,no,cellular,549,unknown,no
48,technician,married,tertiary,no,310,no,no,unknown,135,unknown,no
32,blue-collar,single,secondary,no,1143,yes,yes,cellular,412,unknown,no
42,technician,married,secondary,no,2980,no,no,unknown,101,unknown,no
37,management,single,tertiary,no,37,no,no,cellular,253,unknown,no
40,admin.,single,secondary,no,462,yes,yes,cellular,272,other,no
32,admin.,married,secondary,no,1031,yes,no,cellular,84,unknown,no
42,management,married,tertiary,no,9009,no,no,cellular,135,unknown,no
43,admin.,married,secondary,no,-465,yes,yes,cellular,166,unknown,no
44,admin.,married,secondary,no,5181,yes,yes,cellular,18,unknown,no
37,admin.,married,secondary,no,176,yes,no,cellular,147,failure,no
37,unknown,married,unknown,no,1699,no,no,unknown,63,unknown,no
37,admin.,married,tertiary,no,0,yes,no,cellular,65,failure,no
28,technician,single,tertiary,no,172,yes,yes,cellular,194,unknown,no
32,services,single,secondary,no,0,no,yes,cellular,333,unknown,no
34,admin.,single,secondary,no,6979,yes,no,cellular,14,unknown,no
40,admin.,divorced,secondary,no,6,no,no,unknown,140,unknown,no
34,services,married,secondary,no,-62,yes,no,unknown,109,unknown,no
34,self-employed,married,tertiary,no,1972,yes,no,cellular,61,unknown,no
34,admin.,married,tertiary,no,899,yes,no,telephone,377,success,no
37,services,single,secondary,no,21,yes,no,cellular,96,other,no
36,technician,married,secondary,no,23,yes,no,cellular,152,failure,no
56,retired,married,secondary,no,-1206,yes,no,cellular,382,unknown,yes
49,blue-collar,married,primary,no,0,yes,yes,telephone,97,unknown,no
33,self-employed,married,secondary,no,215,yes,no,cellular,543,unknown,no
30,management,single,tertiary,no,1372,no,no,cellular,240,unknown,no
36,services,married,secondary,no,1981,no,no,unknown,48,unknown,no
23,student,single,secondary,no,9216,no,no,cellular,471,unknown,no
57,retired,divorced,secondary,no,39,yes,no,cellular,354,unknown,no
27,blue-collar,single,secondary,no,5563,yes,no,unknown,435,unknown,no
38,services,married,secondary,no,1,no,yes,cellular,152,unknown,no
42,technician,married,tertiary,no,782,no,no,cellular,285,unknown,no
75,retired,married,secondary,no,3771,no,no,telephone,185,success,yes
34,technician,single,tertiary,no,992,yes,no,cellular,301,success,no
48,technician,married,secondary,no,1526,no,no,cellular,273,unknown,no
35,technician,single,tertiary,no,2658,yes,no,cellular,768,failure,yes
39,management,divorced,tertiary,no,1315,yes,no,cellular,1337,failure,no
29,blue-collar,single,tertiary,no,455,no,no,telephone,403,unknown,yes
45,technician,single,tertiary,no,0,yes,no,cellular,139,unknown,no
42,technician,married,secondary,no,2030,yes,yes,cellular,196,unknown,no
29,technician,married,secondary,no,1599,yes,no,cellular,115,failure,no
38,services,single,secondary,no,-196,yes,no,cellular,60,failure,no
56,retired,married,secondary,no,1333,no,no,cellular,17,unknown,no
36,technician,single,secondary,no,9149,yes,no,cellular,141,unknown,no
25,blue-collar,single,secondary,no,-350,yes,no,unknown,95,unknown,no
38,technician,married,tertiary,no,432,yes,no,cellular,10,other,no
57,self-employed,married,secondary,no,11494,no,no,cellular,198,unknown,no
31,management,married,tertiary,yes,-253,no,no,cellular,220,unknown,no
42,management,married,tertiary,no,372,yes,no,cellular,654,unknown,yes
45,technician,married,secondary,no,1410,no,no,cellular,71,unknown,no
30,blue-collar,married,secondary,no,975,yes,no,cellular,256,failure,no
49,blue-collar,married,primary,no,305,yes,yes,telephone,834,unknown,no
49,services,married,secondary,no,400,no,no,cellular,151,unknown,no
53,retired,married,tertiary,no,-22,yes,no,cellular,20,unknown,no
37,technician,married,secondary,no,4030,yes,no,unknown,178,unknown,no
49,blue-collar,married,primary,no,365,no,no,unknown,59,unknown,no
41,self-employed,married,primary,no,204,no,no,cellular,111,unknown,no
54,management,married,primary,no,1691,yes,no,cellular,186,unknown,no
32,services,single,secondary,no,406,yes,no,unknown,227,unknown,no
33,technician,married,secondary,no,-204,no,no,cellular,297,unknown,no
33,technician,married,secondary,no,359,yes,no,cellular,210,other,no
36,blue-collar,married,primary,no,123,yes,no,cellular,9,unknown,no
35,technician,married,tertiary,no,0,yes,yes,cellular,112,other,no
52,unknown,married,secondary,no,142,no,no,cellular,112,unknown,no
40,entrepreneur,married,tertiary,no,3571,no,no,unknown,222,unknown,no
44,technician,single,secondary,no,33,yes,no,cellular,195,failure,no
45,blue-collar,single,secondary,no,0,yes,no,cellular,768,success,no
30,student,single,secondary,no,3096,no,no,cellular,123,unknown,no
48,technician,divorced,secondary,yes,20,no,no,cellular,145,unknown,no
33,blue-collar,married,secondary,no,3576,yes,no,cellular,124,other,no
57,technician,married,unknown,no,206,yes,no,unknown,216,unknown,no
57,housemaid,married,primary,no,7082,no,no,unknown,69,unknown,no
51,unemployed,married,tertiary,no,1634,yes,no,cellular,168,unknown,no
34,admin.,single,secondary,no,1,yes,no,cellular,483,unknown,no
50,self-employed,married,tertiary,no,4012,no,no,cellular,690,unknown,no
44,management,married,tertiary,no,3762,no,no,cellular,125,unknown,no
27,admin.,married,secondary,no,-247,yes,yes,unknown,344,unknown,no
50,blue-collar,married,secondary,no,606,yes,no,unknown,673,unknown,no
36,management,married,tertiary,no,0,yes,no,cellular,60,other,no
42,management,married,secondary,no,-189,yes,no,unknown,247,unknown,no
32,unemployed,single,secondary,no,0,no,no,cellular,123,unknown,no
42,management,married,tertiary,no,484,yes,no,cellular,144,unknown,no
43,technician,married,secondary,no,0,no,yes,cellular,9,failure,no
31,management,married,tertiary,no,395,yes,no,cellular,155,unknown,no
32,management,married,tertiary,no,2349,no,no,cellular,134,unknown,no
